id	title	poster_path	background_path	format	language	details	description	cast
raid2	Raid 2	Image/catalog/raid2.jpg	Image/12.jpg	2D	Hindi	2h 19m | Drama | Thriller | UA13+	Raid 2 is a 2025 Indian Hindi-language crime thriller film directed by Raj Kumar Gupta. The film is a sequel to Raid (2018) and stars Ajay Devgn, Riteish Deshmukh and Vaani Kapoor along with a special appearance by Tamannaah Bhatia. Set 7 years after the events of the first film, it follows the return of IRS officer Amay Patnaik (Devgn), who tracks another white-collar crime. Like the previous film, the sequel is also based on the income-tax raid conducted by the officers of Income Tax Department who work with intelligence agencies to track white-collar crimes. The film was announced in April 2020. Filming was held in Mumbai, Rajasthan, Uttar Pradesh, and Delhi in the first half of 2024.  Raid 2 was released theatrically on 1 May 2025 and received mixed reviews from critics, but performed well and became the seventh-highest-grossing Hindi film of 2025.	Ajay Devgn, Riteish Deshmukh, Vaani Kapoor, Saurabh Shukla
kgf	KGF	Image/catalog/kgf.jpg	Image/3.jpg	2D	Hindi	2h 48m | Action | Drama | UA	A determined fighter rises through a brutal world where power has a price.	Yash, Srinidhi Shetty, Anant Nag, Ramachandra Raju
rrr	RRR	Image/catalog/rrr.jpg	Image/13.jpg	2D	Hindi	3h 2m | Action | Period Drama | UA	RRR is a 2022 Indian Telugu-language epic period action drama film directed by S. S. Rajamouli, who co-wrote the screenplay with V. Vijayendra Prasad. The title is an abbreviation for Rajamouli, Ram Charan, and Rama Rao. Produced by D. V. V. Danayya under DVV Entertainment, the film stars N. T. Rama Rao Jr and Ram Charan as fictionalised versions of Indian revolutionaries Komaram Bheem and Alluri Sitarama Raju, respectively. It also features Ajay Devgn, Alia Bhatt, Shriya Saran, Samuthirakani, Ray Stevenson, Alison Doody and Olivia Morris in supporting roles. It marks the Telugu film debuts of Devgn, Bhatt, Stevenson, Doody and Morris. The film is a fictionalised tale of two historical freedom fighters, set in the Indian pre-independence era. Rajamouli conceptualised the film by reimagining the lives of Sitarama Raju and Bheem, envisioning their meeting in 1920s Delhi as two formidable forces uniting to battle British colonial rule. The film was officially announced in March 2018, and principal photography began in November 2018 in Hyderabad. The production faced delays due to the COVID-19 pandemic and concluded in August 2021. RRR was shot extensively across India, with additional sequences filmed in Ukraine and Bulgaria. The film's songs and background score were composed by  M. M. Keeravani, with cinematography by K. K. Senthil Kumar and editing by A. Sreekar Prasad. Sabu Cyril served as the production designer, and V. Srinivas Mohan supervised the visual effects. Made on a budget of ₹550 crore, RRR was the most expensive Indian film at the time of its release. The film was released theatrically on 25 March 2022 and became the first Indian film to be released in Dolby Cinema format. It received universal critical acclaim for its direction, screenwriting, cast performances, cinematography, soundtrack, action sequences and VFX. With ₹223 crore worldwide on its first day, RRR recorded the highest opening-day earned by an Indian film at the time. It emerged as the highest-grossing film in its home market of Andhra Pradesh and Telangana, grossing over ₹406 crore and is maintaining it till date. The film grossed ₹1,300–1,387 crore worldwide, setting several box office records for an Indian film. It currently ranks the sixth highest-grossing Indian film, the third highest-grossing Telugu film and the highest grossing Indian film of 2022 worldwide. RRR was considered one of the ten best films of the year by the National Board of Review, making it only the second non-English language film ever to make it to the list. The song "Naatu Naatu" won the Oscar for Best Original Song at the 95th Academy Awards, making it the first song from an Asian film to win in this category. The win made RRR the first and only Indian feature film to win an Academy Award. The film became the third Indian film and first Telugu film to receive nominations at the Golden Globe Awards, including Best Foreign Language Film, and won Best Original Song for "Naatu Naatu", making it the first Indian (as well as the first Asian) nominee to win the award. RRR also won the awards for Best Foreign Language Film and Best Song at the 28th Critics' Choice Awards. At the 69th National Film Awards, the film won six awards, including Best Popular Feature Film, Best Music Direction (Keeravani) and Best Male Playback Singer (Kaala Bhairava for "Komuram Bheemudo"). RRR also fetched the state Telangana Gaddar Film Award for Best Feature Film.	N. T. Rama Rao Jr., Ram Charan, Alia Bhatt, Ajay Devgn
drishyam	Drishyam	Image/catalog/drishyam.jpg	Image/14.jpg	2D	Hindi	2h 43m | Mystery | Thriller | UA	Drishyam 2: The Resumption is a 2021 Indian Malayalam-language crime thriller film written and directed by Jeethu Joseph. It was produced by Antony Perumbavoor under the banner of Aashirvad Cinemas. A sequel to the 2013 film Drishyam and second instalment in the Drishyam film series, the film stars Mohanlal, Meena, Ansiba Hassan, Esther Anil, Asha Sharath, Murali Gopy, and Siddique. Jeethu Joseph wrote the script for Drishyam 2 during a pause in production for his other film Ram, owing to the COVID-19 pandemic. The project was officially announced on 21 May 2020, coinciding with Mohanlal's 60th birthday. Principal photography began on 21 September 2020 and wrapped on 6 November 2020, following strict safety protocols. The film was shot over 46 days, primarily in and around Thodupuzha, retaining the same locations used in the first film, with additional scenes shot in Kochi. Anil Johnson composed the music and film score, while the cinematography and editing were handled by Satheesh Kurup and V. S. Vinayak, respectively. Originally intended for a theatrical release, the producers later opted to release the film through the streaming service Amazon Prime Video. Drishyam 2 was released worldwide on 19 February 2021. Like its predecessor, it received widespread critical acclaim, with particular praise for its narrative and performance, particularly Mohanlal's. It was scheduled for a theatrical Re release on 10 April 2026, several years after its initial direct-to-video premiere. The third instalment in the franchise Drishyam 3 was released on 21 May 2026.	Ajay Devgn, Tabu, Shriya Saran, Ishita Dutta
pushpa2	Pushpa 2	Image/catalog/pushpa2.jpg	Image/2.jpg	2D	Hindi	3h 20m | Action | Drama | UA	Pushpa 2: The Rule is a 2024 Indian Telugu-language action drama film written and directed by Sukumar and produced by Mythri Movie Makers in association with Sukumar Writings. A sequel to Pushpa: The Rise (2021), it is the second installment in the Pushpa film series. The film stars Allu Arjun in the titular role, alongside Rashmika Mandanna, Fahadh Faasil, Jagapathi Babu, Sunil and Rao Ramesh. It follows Pushpa Raj, a labourer-turned-red sandalwood smuggler, as he faces growing threats from his enemies, including SP Bhanwar Singh Shekhawat. The sequel was officially announced in December 2021, shortly before the release of the first film, with the title Pushpa 2 and later rebranded as Pushpa 2: The Rule with the release of the first film. Although a portion of the film was initially shot back-to-back with the first film, director Sukumar revised the storyline, leading to principal photography beginning in October 2022. The film features music composed by Devi Sri Prasad, cinematography by Mirosław Kuba Brożek, and editing by Naveen Nooli. Made on a budget of ₹400–500 crore, it is among the most expensive Indian films ever produced. With a runtime of 200–224 minutes, it is also one of the longest Indian films. Pushpa 2: The Rule was released worldwide on 5 December 2024 in standard, IMAX, 4DX, D-Box and PVR ICE formats to mostly mixed reviews from critics. The film was a major commercial success, grossing between 1642 and 1800 crores worldwide, making it the second highest-grossing film in India and the fourth-highest-grossing Indian film worldwide at the time of its release.	Allu Arjun, Rashmika Mandanna, Fahadh Faasil
jawan	Jawan	Image/catalog/jawan.jpg	Image/6.jpg	2D	Hindi	2h 49m | Action | Thriller | UA	Jawan (transl. Soldier) is a 2023 Indian Hindi-language action thriller film co-written and directed by Atlee in his Hindi film debut, and produced by Gauri Khan under Red Chillies Entertainment. It stars Shah Rukh Khan in a dual role alongside Nayanthara, Vijay Sethupathi, Deepika Padukone, Priyamani, Sanya Malhotra, and Sunil Grover. In the film, a vigilante recruits inmates and commits acts that shed light on corruption in India. Principal photography began in September 2021, and took place in Pune, Mumbai, Goregaon, Hyderabad, Chennai, Rajasthan, and Aurangabad. The soundtrack and film score were composed by Anirudh Ravichander, with the cinematography and editing handled by G. K. Vishnu and Ruben respectively. Some portions of the film were simultaneously reshot for the Tamil version, particularly Khan's appearance in the song "Zinda Banda" ("Vandha Edam" in Tamil), Sethupathi's portions and scenes featuring Yogi Babu. Jawan was theatrically released on 7 September 2023 in standard, IMAX, and 4DX, coinciding with Janmashtami, and received positive reviews from critics with praise towards the cast performances, direction, action sequences, soundtrack, and cinematography. The film grossed over ₹1,100 crore (US$120 million) at the box-office, becoming the highest-grossing Indian film of 2023. As of March 2026, it ranks as the eighth highest-grossing Indian film of all time. At the 69th Filmfare Awards, the film received 14 nominations, including Best Film and Best Director. At the 71st National Film Awards, the film won 2 awards: Best Actor in a Leading Role (Khan) and Best Female Playback Singer (Shilpa Rao for "Chaleya").	Shah Rukh Khan, Nayanthara, Vijay Sethupathi
pathaan	Pathaan	Image/catalog/pathaan.jpg	Image/3.jpg	2D	Hindi	2h 26m | Action | Spy | UA	Pathaan (pronounced [pəʈʰaːn]) is a 2023 Indian Hindi-language action thriller film directed by Siddharth Anand and produced by Aditya Chopra under Yash Raj Films. The film stars Shah Rukh Khan in the titular role, alongside Deepika Padukone, John Abraham, Dimple Kapadia, and Ashutosh Rana. It is the fourth installment in the YRF Spy Universe and the first instalment in the universe to establish crossovers between characters from other universe films. The film follows an exiled RAW agent who works with an ISI agent to take down a former RAW agent turned rogue, who plans to attack India with a deadly lab-generated virus. Principal photography commenced in November 2020 in Mumbai. The film was shot in various locations in India, Afghanistan, Spain, UAE, Turkey, Russia, Italy, and France. The film's soundtrack was composed by Vishal–Shekhar, while Sanchit Balhara and Ankit Balhara composed the background score. The film was made on an estimated production budget of ₹250 crore (US$26 million). It was theatrically released in India on 25 January 2023, coinciding with the Republic Day weekend. The film received  positive reviews from critics. It grossed 1,050.50 cr  worldwide, becoming the ninth highest-grossing Indian film of all time. At the 69th Filmfare Awards, the film received 16 nominations, including Best Film, Best Director and Best Actress (Padukone), and won Best Female Playback Singer (Shilpa Rao for the song "Besharam Rang"). A sequel is in production with the script finalised.	Shah Rukh Khan, Deepika Padukone, John Abraham
animal	Animal	Image/catalog/animal.jpg	Image/12.jpg	2D	Hindi	3h 21m | Action | Drama | A	Animal is a 2023 Indian Hindi-language action drama film co-written, directed and edited by Sandeep Reddy Vanga and jointly produced by T-Series Films, Bhadrakali Pictures and Cine1 Studios. The film stars Ranbir Kapoor in dual role, alongside Anil Kapoor, also in dual role, Bobby Deol, Rashmika Mandanna and Triptii Dimri. It explores the troubled relationship between Ranvijay Singh and his father, Balbir Singh, a powerful industrialist. After spending years abroad he returns home and embarks on a ruthless quest for vengeance after an assassination attempt on his father. The film was officially announced in January 2021. Principal photography began in April 2022 and wrapped by April 2023, with cinematography by Amit Roy. The film's soundtrack album was composed by Pritam, JAM8, Vishal Mishra, Jaani, Manan Bhardwaj, Shreyas Puranik, Ashim Kemson and Harshavardhan Rameshwar. With a runtime of 204 minutes, Animal is one of the longest Indian films ever made. It was initially set for an August 2023 release but was postponed due to post-production work. Animal was theatrically released on 1 December 2023, in standard and IMAX formats to mixed reviews, with praise for its cast performances, direction, screenwriting, soundtrack, cinematography, action sequences and technical aspects but faced severe criticism for its themes and graphic violence. However, the film did very well commercially, both domestically and internationally. It grossed ₹917.82 crore (US$96 million) worldwide, making it the third highest-grossing Indian film of 2023, the fifth highest-grossing Hindi film, the eleventh highest-grossing Indian film and third highest-grossing A-rated Indian film. At the 69th Filmfare Awards, the film received 19 nominations, including Best Film, and won a leading six awards, including Best Actor for Ranbir Kapoor. At the 22nd Zee Cine Awards 2024, the film won 4 awards, including Best Actor in a Supporting Role award for Anil Kapoor, and the Best Actor In a Negative Role award for Bobby Deol. The film also won 3 awards at the 71st National Film Awards: Special Mention, Best Background Music, and Best Sound Design. A sequel titled Animal Park, announced in the post-credits scene, is in early development.	Ranbir Kapoor, Rashmika Mandanna, Anil Kapoor
dangal	Dangal	Image/catalog/dangal.jpg	Image/3.jpg	2D	Hindi	2h 41m | Sports | Drama | U	Dangal is a 2016 Indian Hindi-language biographical sports drama film directed by Nitesh Tiwari and produced by Aamir Khan, Kiran Rao, and Siddharth Roy Kapur under Aamir Khan Productions and The Walt Disney Company India. The film stars Khan as Mahavir Singh Phogat, a pehlwani amateur wrestler who trains his daughters Geeta Phogat and Babita Kumari to become India's first world-class female wrestlers. Fatima Sana Shaikh and Sanya Malhotra portray the adult versions of the two Phogat sisters, Zaira Wasim and Suhani Bhatnagar their younger versions, Sakshi Tanwar their mother, and Aparshakti Khurana adult version of their cousin, Ritvik Sahore his younger version, all of them except Shaikh, Tanwar and Sahore in their film debuts.	Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra
pk	PK	Image/catalog/pk.jpg	Image/3.jpg	2D	Hindi	2h 33m | Comedy | Drama | UA	PK (Tipsy) is a 2014 Indian Hindi-language science-fiction comedy-drama film edited and directed by Rajkumar Hirani and written by Hirani and Abhijat Joshi and jointly produced by Hirani and Vidhu Vinod Chopra under the production banners of Rajkumar Hirani Films and Vinod Chopra Films, respectively. A religious satire addressing superstition and pseudoprophets, the film stars an ensemble cast of Aamir Khan (as the title character), Anushka Sharma, Sushant Singh Rajput, Boman Irani, Saurabh Shukla and Sanjay Dutt.  Khan plays a humanoid alien who was sent to Earth on a research mission.  After losing the remote with which he contacts his spaceship, he is told by the people of Earth to seek God's help - leading him to start a national movement which questions organised religion as a whole.   After the success of 3 Idiots (2009), Hirani and Joshi began scripting their next project; finding similarities with the plot of Inception (2010), they scrapped the film. It was later rewritten with a different angle and tone. During production, the film was initially titled Talli and later Ek Tha Talli before being changed to PK as the latter title was found to be too similar to Ek Tha Tiger (2012). The film's soundtrack was composed by Shantanu Moitra, Ajay–Atul and Ankit Tiwari with lyrics written by Swanand Kirkire, Amitabh Varma and Manoj Muntashir. UTV Motion Pictures acquired the distribution rights of the film. PK was the first Bollywood film to be shot in Belgium.  PK was released on 19 December 2014. Upon release, it received critical acclaim, with praise directed towards Khan's performance and the film's humour. The film received 8 nominations at the 60th Filmfare Awards, including Best Actor for Khan, Best Film, and Best Director for Hirani, winning two. Additionally, it won five Producers Guild Film Awards, and two Screen Awards. PK garnered the Telstra People's Choice Award at the Indian Film Festival of Melbourne. Produced on a budget of ₹1.22 billion, PK was the first Indian film to gross more than ₹7 billion and US$100 million worldwide. At the time of its release, it emerged as the highest-grossing Indian film of all time. The film's final worldwide gross was ₹769.89 crore (US$118.92 million). It currently ranks as the eleventh highest-grossing Hindi film of all-time.	Aamir Khan, Anushka Sharma, Sushant Singh Rajput
